;Namn;Beskrivning;Min;Max;Enhet;Sökväg 800xA;Sökväg till Värde
;A001202LI200;PNM201  Pumgravnivåmätare;0;2;mVp; Applications.KF04_Bio_App.Programs.Biobassängblock_UC4.A001202LI200; Applications.KF04_Bio_App.Programs.Biobassängblock_UC4.A001202LI200.In.Value
;A001202LI210;KNM201  Kanalnivåmätare;0;1;mVp; Applications.KF04_Bio_App.Programs.Biobassängblock_UC4.A001202LI210; Applications.KF04_Bio_App.Programs.Biobassängblock_UC4.A001202LI210.In.Value
x;A001608FI602;RFM602  Rejektflödesmätare;0;50;m3/h; Applications.KF04_Bio_App.Programs.Biobassängblock_UC4.A001608FI602; Applications.KF04_Bio_App.Programs.Biobassängblock_UC4.A001608FI602.In.Value
;A001608FI601;RFM601  Rejektflödesmätare;0;50;m3/h; Applications.KF04_Bio_App.Programs.Biobassängblock_UC4.A001608FI601; Applications.KF04_Bio_App.Programs.Biobassängblock_UC4.A001608FI601.In.Value
;A001102TI601;JST601  Järnsulfattemperatur;0;100;C; Applications.KF04_Bio_App.Programs.Biobassängblock_UC4.A001102TI601; Applications.KF04_Bio_App.Programs.Biobassängblock_UC4.A001102TI601.In.Value
;A001102LI602;JNM602  Järnsulfatnivåmätare;0;5;mVp; Applications.KF04_Bio_App.Programs.Biobassängblock_UC4.A001102LI602; Applications.KF04_Bio_App.Programs.Biobassängblock_UC4.A001102LI602.In.Value
;A001202FI102;MBM102  BRÄDDNING NYA FÖRSED;0;3600;m3/h; Applications.KF04_Bio_App.Programs.Biobassängblock_UC4.A001202FI102; Applications.KF04_Bio_App.Programs.Biobassängblock_UC4.A001202FI102.In.Value
;A001201QI201;GKM201  Gaskoncentrationsmätare;0;100;%; Applications.KF04_Bio_App.Programs.Biobassängblock_UC4.A001201QI201; Applications.KF04_Bio_App.Programs.Biobassängblock_UC4.A001201QI201.In.Value
;A001202SI201;AVP-201 vibration;0;100;0; Applications.KF04_BioP_App.Programs.Biopumpar.A001202SI201_FB; Applications.KF04_BioP_App.Programs.Biopumpar.A001202SI201_FB.In.Value
x;A001612FI001;SFM620 Slamflödesmätare;0;100;0; Applications.KF7_MSF.Programs.Slamberedare.A001612FI001; Applications.KF7_MSF.Programs.Slamberedare.A001612FI001.In.Value
;A001612LI001;SNM620 Nivågivare utjämningsmagasin;0;5;mvp; Applications.KF7_MSF.Programs.Slamberedare.A001612LI001; Applications.KF7_MSF.Programs.Slamberedare.A001612LI001.In.Value
;A001612LI002;SNM621 Nivågivare utjämningsmagasin;0;5;mvp; Applications.KF7_MSF.Programs.Slamberedare.A001612LI002; Applications.KF7_MSF.Programs.Slamberedare.A001612LI002.In.Value
;A001612LI003;SNM622 Nivågivare utjämningsmagasin;0;1;mvp; Applications.KF7_MSF.Programs.Slamberedare.A001612LI003; Applications.KF7_MSF.Programs.Slamberedare.A001612LI003.In.Value
x;A001612QI002;SHM620 Slamhaltsmätare;0;10;%; Applications.KF7_MSF.Programs.Slamberedare.A001612QI002; Applications.KF7_MSF.Programs.Slamberedare.A001612QI002.In.Value
;A001612PI001;STM620 Tryckmätare;0;25;bar; Applications.KF7_MSF.Programs.Slamberedare.A001612PI001; Applications.KF7_MSF.Programs.Slamberedare.A001612PI001.In.Value
